"year","state","sector","source","carbdiox_millmtrcton"
1993,"alabama","All","Coal",76.5
1993,"alabama","All","Petroleum Products",33.2
1993,"alabama","All","Natural Gas",16
1993,"alabama","All","All",125.8
1994,"alabama","Residential","Coal",0
1994,"alabama","Residential","Petroleum Products",0.6
1994,"alabama","Residential","Natural Gas",2.7
1994,"alabama","Residential","All",3.3
1994,"alabama","Commercial","Coal",0
1994,"alabama","Commercial","Petroleum Products",0.6
1994,"alabama","Commercial","Natural Gas",1.4
1994,"alabama","Commercial","All",2.1
1994,"alabama","Industrial","Coal",13.6
1994,"alabama","Industrial","Petroleum Products",4
1994,"alabama","Industrial","Natural Gas",10.6
1994,"alabama","Industrial","All",28.3
1994,"alabama","Transportation","Coal",0
1994,"alabama","Transportation","Petroleum Products",29.8
1994,"alabama","Transportation","Natural Gas",0.8
1994,"alabama","Transportation","All",30.6
1994,"alabama","Electric Power","Coal",59.2
1994,"alabama","Electric Power","Petroleum Products",0.1
1994,"alabama","Electric Power","Natural Gas",0.3
1994,"alabama","Electric Power","All",59.6
1994,"alabama","All","Coal",72.8
1994,"alabama","All","Petroleum Products",35.1
1994,"alabama","All","Natural Gas",15.9
1994,"alabama","All","All",123.8
1995,"alabama","Residential","Coal",0
1995,"alabama","Residential","Petroleum Products",0.6
1995,"alabama","Residential","Natural Gas",2.7
1995,"alabama","Residential","All",3.3
1995,"alabama","Commercial","Coal",0
1995,"alabama","Commercial","Petroleum Products",0.5
1995,"alabama","Commercial","Natural Gas",1.4
1995,"alabama","Commercial","All",2
1995,"alabama","Industrial","Coal",13.5
1995,"alabama","Industrial","Petroleum Products",3.7
1995,"alabama","Industrial","Natural Gas",11.9
1995,"alabama","Industrial","All",29.1
1995,"alabama","Transportation","Coal",0
1995,"alabama","Transportation","Petroleum Products",31
1995,"alabama","Transportation","Natural Gas",1.1
1995,"alabama","Transportation","All",32.1
1995,"alabama","Electric Power","Coal",64.6
