"year","state","population"
1996,"kansas",2614554
1996,"kentucky",3919535
1996,"louisiana",4398877
1996,"massachusetts",6179756
1996,"maryland",5111986
1996,"maine",1249060
1996,"michigan",9758645
1996,"minnesota",4712827
1996,"missouri",5431553
1996,"mississippi",2748085
1996,"montana",886254
1996,"north carolina",7500670
1996,"north dakota",650382
1996,"nebraska",1673740
1996,"new hampshire",1174719
1996,"new jersey",8149596
1996,"new mexico",1752326
1996,"nevada",1666320
1996,"new york",18588460
1996,"ohio",11242827
1996,"oklahoma",3340129
1996,"oregon",3247111
1996,"pennsylvania",12220464
1996,"rhode island",1020893
1996,"south carolina",3796200
1996,"south dakota",742213
1996,"tennessee",5416643
1996,"texas",19340342
1996,"utah",2067976
1996,"virginia",6750884
1996,"vermont",593701
1996,"washington",5569753
1996,"wisconsin",5229986
1996,"west virginia",1822808
1996,"wyoming",488167
1997,"alaska",612968
1997,"alabama",4367935
1997,"arkansas",2601090
1997,"arizona",4736990
1997,"california",32486010
1997,"colorado",4018293
1997,"connecticut",3349348
1997,"district of columbia",567736
1997,"delaware",751487
1997,"florida",15186304
1997,"georgia",7685099
1997,"hawaii",1211640
1997,"iowa",2891119
1997,"idaho",1228520
1997,"illinois",12185715
1997,"indiana",5955267
1997,"kansas",2635292
1997,"kentucky",3952747
1997,"louisiana",4421071
1997,"massachusetts",6226058
1997,"maryland",5157328
1997,"maine",1254774
1997,"michigan",9809051
1997,"minnesota",4763390
1997,"missouri",5481193
1997,"mississippi",2777004
1997,"montana",889865
1997,"north carolina",7656825
1997,"north dakota",649716
1997,"nebraska",1686418
1997,"new hampshire",1189425
1997,"new jersey",8218808
1997,"new mexico",1774839
1997,"nevada",1764104
1997,"new york",18656546
1997,"ohio",11277357
1997,"oklahoma",3372917
1997,"oregon",3304310
1997,"pennsylvania",12227814
1997,"rhode island",1025353
1997,"south carolina",3859696
1997,"south dakota",744223
1997,"tennessee",5499233
1997,"texas",19740317
1997,"utah",2119784
1997,"virginia",6829183
1997,"vermont",597239
1997,"washington",5674747
1997,"wisconsin",5266213
1997,"west virginia",1819113
1997,"wyoming",489451
1998,"alaska",619932
1998,"alabama",4404701
1998,"arkansas",2626289
1998,"arizona",4883342
1998,"california",32987675
1998,"colorado",4116639
1998,"connecticut",3365352
1998,"district of columbia",565230
1998,"delaware",763335
1998,"florida",15486559
1998,"georgia",7863536
1998,"hawaii",1215233
1998,"iowa",2902872
1998,"idaho",1252330
1998,"illinois",12271847
1998,"indiana",5998880
1998,"kansas",2660598
1998,"kentucky",3985390
1998,"louisiana",4440344
1998,"massachusetts",6271838
1998,"maryland",5204464
1998,"maine",1259127
1998,"michigan",9847942
1998,"minnesota",4813412
1998,"missouri",5521765
1998,"mississippi",2804834
1998,"montana",892431
1998,"north carolina",7809121
1998,"north dakota",647532
