"year","state","gdp.nominal","gdp.adjusted"
1991,"maine",23379,186330
1991,"maryland",115428,919961
1991,"massachusetts",160728,1281002
1991,"michigan",197717,1575804
1991,"minnesota",106102,845632
1991,"mississippi",40862,325670
1991,"missouri",109162,870021
1991,"montana",13875,110583
1991,"nebraska",35613,283835
1991,"nevada",32786,261304
1991,"new hampshire",24763,197361
1991,"new jersey",221915,1768662
1991,"new mexico",30295,241451
1991,"new york",497336,3963767
1991,"north carolina",146367,1166544
1991,"north dakota",11691,93177
1991,"ohio",233975,1864780
1991,"oklahoma",59632,475267
1991,"oregon",59441,473744
1991,"pennsylvania",255163,2033649
1991,"rhode island",21738,173251
1991,"south carolina",68000,541960
1991,"south dakota",13736,109475
1991,"tennessee",101208,806627
1991,"texas",393574,3136784
1991,"utah",33501,267002
1991,"vermont",11733,93512
1991,"virginia",151093,1204211
1991,"washington",125895,1003383
1991,"west virginia",29092,231863
1991,"wisconsin",104774,835048
1991,"wyoming",12977,103426
1992,"alabama",81260,647642
1992,"alaska",22753,181341
1992,"arizona",82682,658975
1992,"arkansas",45018,358793
1992,"california",807358,6434643
1992,"colorado",87302,695796
1992,"connecticut",105759,842899
1992,"delaware",22907,182568
1992,"district of columbia",43187,344200
1992,"florida",284673,2268843
1992,"georgia",160062,1275694
1992,"hawaii",36129,287948
1992,"idaho",20632,164437
1992,"illinois",306236,2440700
1992,"indiana",124714,993970
1992,"iowa",61870,493103
1992,"kansas",56902,453508
1992,"kentucky",77531,617922
1992,"louisiana",90890,724393
1992,"maine",24329,193902
1992,"maryland",119535,952693
1992,"massachusetts",167435,1334456
1992,"michigan",212057,1690094
1992,"minnesota",114518,912708
1992,"mississippi",44012,350775
1992,"missouri",115288,918845
1992,"montana",14937,119047
1992,"nebraska",38214,304565
1992,"nevada",36052,287334
1992,"new hampshire",26332,209866
1992,"new jersey",230774,1839268
1992,"new mexico",32638,260124
1992,"new york",519704,4142040
1992,"north carolina",159337,1269915
1992,"north dakota",12896,102781
1992,"ohio",250650,1997680
1992,"oklahoma",62209,495805
1992,"oregon",63392,505234
1992,"pennsylvania",269849,2150696
1992,"rhode island",22665,180640
1992,"south carolina",71848,572628
1992,"south dakota",14886,118641
1992,"tennessee",111660,889930
1992,"texas",416401,3318715
1992,"utah",35602,283747
1992,"vermont",12538,99927
1992,"virginia",158990,1267150
1992,"washington",134469,1071717
1992,"west virginia",30410,242367
1992,"wisconsin",112972,900386
1992,"wyoming",13179,105036
1993,"alabama",84563,673967
1993,"alaska",23284,185573
1993,"arizona",89300,711721
1993,"arkansas",47566,379101
1993,"california",826447,6586782
1993,"colorado",95659,762402
1993,"connecticut",107680,858209
1993,"delaware",23509,187366
1993,"district of columbia",45356,361487
1993,"florida",304403,2426091
1993,"georgia",171659,1368122
1993,"hawaii",36732,292754
1993,"idaho",23100,184107
1993,"illinois",320079,2551029
1993,"indiana",132108,1052900
1993,"iowa",63386,505186
1993,"kansas",58953,469855
1993,"kentucky",81618,650495
1993,"louisiana",95866,764052
1993,"maine",25202,200859
1993,"maryland",125515,1000354
